"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00008098,,"Ufuomanefe Levy","Nefe's Family Day Care","CHARTERIS PARK, UNIT 4 15 CHARTERIS CR",CHIFLEY,ACT,2606,31/10/2012,"The Approved Provider, being Ufuomanefe Levy, must refrain from educating and caring for children, in any capacity, (outside of normal parental responsibilities) whilst engaged in the role of either an Approved Provider, Nominated Supervisor, Responsible Person or Family Day Care Co-ordinator, of an approved service, during the operational hours of the approved service."
PR-40017687,,"AEON ARTS LTD.",,"67 Schlich St",YARRALUMLA,ACT,2600,08/10/2018,
PR-40002324,,"AUSTRALIAN EDUCATION AND TRAINING SERVICES PTY LTD",,"62 Thynne Street",BRUCE,ACT,2617,08/08/2014,
PR-40002390,,"Little Smiles Early Childhood Centre Pty. Ltd.",,"38 May Gibbs Close",RICHARDSON,ACT,2905,21/08/2014,
PR-40036945,,"FIRST GENERICS PTY LTD",,"3 Strom St",WRIGHT,ACT,2611,10/04/2024,
PR-40013119,,"Caerus Early Learning Pty Ltd","Coombs Early Learning","PO BOX 3553",MANUKA,ACT,2603,10/10/2017,
PR-40013781,,"Stepping Stones Child Care (ACT) Pty Ltd as trustee for the Yerrabi Ponds Trust","Stepping Stones Child Care Centre (ACT) Pty Ltd","Unit 2  83 Gozzard Street",GUNGAHLIN,ACT,2912,14/12/2017,
PR-40021968,,"Insight Early Learning Joondalup Pty Ltd","Freo Kids Early Learning Joondalup","1 Pademelon St",THROSBY,ACT,2914,30/01/2020,
PR-00009864,,"INSIGHT EARLY LEARNING DUNSBOROUGH PTY LTD","Insight Early Learning Dunsborough","ALBA, UNIT 25 1 PADEMELON ST",THROSBY,ACT,2914,08/11/2024,
PR-00009958,,"The Trustee for Rivett Childcare Unit Trust","360 Early Education Rivett","1 AMARYLLIS ST",WRIGHT,ACT,2611,19/09/2024,
PR-40005760,,"Trinity Christian School Incorporated","Trinity Christian School","Trinity Christian School, 34 McBryde Cres",WANNIASSA,ACT,2903,03/11/2015,
PR-40020627,,"Insight Early Learning  Throsby Pty Ltd and Insight Early Learning Throsby Pty Ltd","Insight Early Learning Throsby Pty Ltd","1 Pademelon St",THROSBY,ACT,2914,19/08/2019,
PR-40020632,,"Insight Early Learning Port Coogee Pty Ltd","Insight Early Learning Port Coogee","1 Pademelon Street",THROSBY,ACT,2914,19/08/2019,
