"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40032490,,"Imbrium Pty Ltd",,"14 Henry Kater Ave",BUNGARRIBEE,NSW,2767,06/06/2023,
PR-40032532,,"LILTON PTY LTD",,"27 Cliff Ave","PEAKHURST HEIGHTS",NSW,2210,10/07/2023,
PR-40032548,,"FAMILY CLUB PTY LTD","Family Club","179 Beattie St",BALMAIN,NSW,2041,08/08/2023,
PR-40032611,,"LITTLE LAMBS EARLY LEARNING ACADEMY PTY LTD","Lizzards Preschool, before and after school and vacation care","193 The Grand Pde",MONTEREY,NSW,2217,04/05/2023,
PR-40032614,,"LSMC CORPORATION PTY LTD",,"28-30 Jamieson Cl","HORSLEY PARK",NSW,2175,21/07/2023,
PR-40032625,,"JLF ENTERPRISES PTY LTD",,"PO Box 291",RAMSGATE,NSW,2217,11/10/2023,
PR-40032682,,"Lara Ghazi","Childs Way","PO Box 66",MERRYLANDS,NSW,2160,01/08/2023,
PR-40032685,,"Kids Retreat Pty Ltd as trustee for SG & LG FAMILY TRUST","Kids Retreat Early Learning Centre","51a Samuel St",PEAKHURST,NSW,2210,15/09/2023,
PR-40032687,,"Grow 2 Shine Pty Ltd","Grow 2 Shine","U 322  192 Caroline Chisholm Dr","WINSTON HILLS",NSW,2153,16/08/2023,
PR-40032689,,"BILBY BABY PTY LTD","Bilby family day care","128 Fiddens Wharf Rd",KILLARA,NSW,2071,22/09/2023,
PR-40032712,,"Little Voices Childcare Pty Ltd","Little Voices Childcare Pty Ltd","22 Leemon St","CONDELL PARK",NSW,2200,02/06/2023,
PR-40032773,,"KEATS KIDS EARLY LEARNING CENTRE PTY LTD",,"5 Keats St",CARLINGFORD,NSW,2118,11/08/2023,
PR-40032783,,"ELYON EDUCATION PTY LTD",,"8 Fletcher Ave",BLAKEHURST,NSW,2221,15/09/2023,
