"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40017420,,"GIGGLE KIDS EARLY LEARNING CENTRE PTY LTD","GIGGLE KIDS EARLY LEARNING CENTRE PTY LTD","2 Sunset Ct","THE GAP",NT,0870,02/09/2019,
PR-40024780,,"Trayhern Family Investments Pty Ltd","Family First Early Learning","90 Virginia Rd",VIRGINIA,NT,0834,08/02/2021,
PR-40024786,,"Warlpiri Youth Development Aboriginal Corporation","Warlpiri Youth Development Aboriginal Corporation","Yuendumu CMB","VIA ALICE SPRINGS",NT,0872,02/06/2021,
PR-00006926,,"Bakewell Primary Independent Public School Board","Bakewell Outside School Hours Care","1 Forrest Parade",BAKEWELL,NT,0832,19/09/2012,
PR-00006945,,"Girraween Primary School Council","Girraween Primary School Council OSHC","PO Box 1042","HOWARD SPRINGS",NT,0835,14/09/2012,
PR-00007019,,"Nakara School Council Inc","Nakara School Council Inc","c/- Nakara Primary School, Goodman Street",NAKARA,NT,0810,10/09/2012,
PR-00007020,,"Katherine South Primary School Council","Katherine South Primary School","Po Box 721",KATHERINE,NT,0851,11/10/2012,
PR-00007021,,"Leanyer School Board Inc","Leanyer School Board Inc","114 Leanyer Dirive",LEANYER,NT,0812,10/10/2012,
PR-00007027,,"Stuart Park Primary School Council Inc",,"PO Box 37421",WINNELLIE,NT,0821,23/11/2012,
PR-00007051,,"Tamina Lee Strochnetter","Jingili OSHC","2/30 Easther Crescent","COCONUT GROVE",NT,0810,10/09/2012,
PR-00007060,,"G.J Kalidonis & N.J Wright","The Brat Pack","19 Newell Crescent",JINGILI,NT,0810,04/03/2013,
PR-00007062,,"Alice Springs Family Day Care INC","Alice Springs Family Day Care INC","PO Box 1764","ALICE SPRINGS",NT,0870,20/09/2012,
PR-00007065,,"Berry Springs School Council Inc","Berrry Springs Community Outside School Care","PO Box 135","BERRY SPRINGS",NT,0838,05/02/2013,
PR-00007080,,"Clyde Fenton School Council Inc",,"PO Box 421",KATHERINE,NT,0851,11/10/2012,
PR-00007083,,"Larrakeyah Primary School Board","Larrakeyah Primary School Board","Po Box 412",DARWIN,NT,0801,03/12/2012,
PR-00007085,,"Good Shepherd Lutheran College NT Incorporated",,"PO Box 1146","HOWARD SPRINGS",NT,0835,20/09/2012,
PR-00007095,,"Kentish Community Services Ltd.","Kentish Community Services Ltd.","PO Box 1325",PALMERSTON,NT,0831,22/03/2013,
PR-00001244,,"Arnhem Early Learning Centre Pty. Ltd.","Arnhem Early Learning Centre Pty. Ltd.","PO Box 1430",NHULUNBUY,NT,0881,02/06/2011,
PR-00001246,,"Braitling Neighbourhood Centre Inc","Braitling Neighbourhood Centre","Braitling Neighbourhood Centre, 153 Woods Tce",BRAITLING,NT,0870,09/06/2012,
PR-00001247,,"Casuarina Childcare Centre Inc","Casuarina Childcare Centre Inc","PO Box 40251",CASUARINA,NT,0811,06/06/2010,
PR-00001248,,"CATHOLIC CHURCH OF THE DIOCESE OF DARWIN PROPERTY TRUST","Catholic Church of the Diocese of Darwin Property Trust","PO Box 219",BERRIMAH,NT,0828,26/06/2011,
PR-00001249,,"Charles Darwin University","CDU Child Care Centre","C/- CD University",CASUARINA,NT,0811,27/06/2009,
PR-00001251,,"Dripstone Children's Centre Inc","Dripstone Children's Centre Inc","13 ELLENGOWAN DR",BRINKIN,NT,0810,02/02/2010,
PR-00001252,,"Gap Community Childcare Centre Inc","Gap Community Childcare Centre","PO Box 3613","ALICE SPRINGS",NT,0871,04/04/2011,
PR-00001255,,"Gray Child Care Centre Incorporated","Gray Child Care Centre Inc","8 Victoria Drive",GRAY,NT,0830,29/08/2010,
PR-00001259,,"Humpty Doo Community & Child Care Centre Inc",,"PO Box 31","HUMPTY DOO",NT,0836,06/03/2012,
PR-00001260,,"Haileybury Rendall School","Haileybury Rendall Early Learning Centre","PO Box 241",BERRIMAH,NT,0828,09/06/2009,
PR-00001262,,"Little Mangoes Pty Ltd as trustee for Billabong Trust","Little Mangoes Pty Ltd","PO Box 1278",KATHERINE,NT,0850,22/01/2010,
PR-00001265,,"Malak Family Centre Inc","Malak Family Centre","PO Box 936",KARAMA,NT,0813,22/08/2012,
PR-00001266,,"Milkwood Steiner School Association Incorporated","Milkwood Steiner School Association Inc","PO Box 319",KARAMA,NT,0812,01/01/2012,
PR-00001268,,"Mitchell Street Child Care Centre Inc","Mitchell Street Child Care Centre Incorporated","127 Mitchell Street",DARWIN,NT,0800,09/06/2009,
PR-00001269,,"Montinet Holdings Pty Limited","Montinet Holdings Pty Limited","23 Bremer Street",LUDMILLA,NT,0820,02/08/2010,
PR-00001271,,"Nhulunbuy Children's Services Incorporated","Nhulunbuy Community Child Care Centre and Family Day Care","PO Box 1321",NHULUNBUY,NT,0881,16/09/2010,
PR-00001272,,"Nightcliff Family Centre Inc","Nightcliff Family Centre Inc","PO Box 535",NIGHTCLIFF,NT,0814,09/06/2012,
PR-00001273,,"Nightcliff Primary School Council","Nightcliff Primary School Council","PO Box 798",NIGHTCLIFF,NT,0814,21/03/2011,
PR-00001274,,"NT Christian Schools","NT Christian Schools","PO Box 228",KARAMA,NT,0813,07/02/2011,
PR-00001275,,"Department of Education and Training","Department of Education and Training","GPO Box 4821",DARWIN,NT,0801,01/01/2012,
PR-40006260,,"Scallywags Childcare Centre Palmerston Inc",,"95 Bonson Tce",MOULDEN,NT,0830,16/12/2015,
PR-00001277,,"Parap Family Centre Incorporated","Parap Family Centre Incorporated","4 Charlotte Street",PARAP,NT,0820,02/02/2010,
