"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00006207,,"Management Gurus Pty Ltd","Management Gurus Pty Ltd","14 Botanical Drive",UNDERWOOD,QLD,4119,01/01/2012,
PR-40032545,,"LITTLE CREEK EL PTY LTD",,"1311 Goomburra Road",GOOMBURRA,QLD,4362,03/04/2023,
PR-40032552,,"GREEN LEAVES (WA8) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032576,,"Mez Day Care Pty Ltd","Mez Day Care","213 Henty Dr","REDBANK PLAINS",QLD,4301,15/05/2023,
PR-40032629,,"TREEHOUSE EARLY LEARNING MARSDEN PTY LTD",,"16 Hickory St",MARSDEN,QLD,4132,05/04/2023,
PR-40032631,,"GREEN LEAVES (QLD26) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032661,,"Green Leaves (QLD27) Early Learning Centres Pty Ltd",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032662,,"GREEN LEAVES (QLD28) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032663,,"GREEN LEAVES (QLD29) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032664,,"GREEN LEAVES (VIC11) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032665,,"GREEN LEAVES (VIC12) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032667,,"GREEN LEAVES (WA9) EARLY LEARNING CENTRES PTY LTD",,"UNIT 3, 8 MILLER STREET",MURRARRIE,QLD,4172,13/04/2023,
PR-40032669,,"Powerchiro Pty Ltd as Trustee for The Springvale Trust",,"1 Athelstane St","THE RANGE",QLD,4700,08/06/2023,
PR-40032671,,"GREEN LEAVES (WA10) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032672,,"GREEN LEAVES (WA11) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032673,,"GREEN LEAVES (TAS2) EARLY LEARNING CENTRES PTY LTD",,"U 3  8 Miller St",MURARRIE,QLD,4172,13/04/2023,
PR-40032710,,"KVECC Pty Ltd","Kids Village Early Childhood Centre","Unit 8 153 Smith Road",WOODRIDGE,QLD,4114,01/06/2023,
PR-40032731,,"AOS LEARNING CENTRE PTY LTD",,"136 Fernvale Rd",BRASSALL,QLD,4305,08/05/2023,
PR-40032735,,"SIX2SIXTY Pty Ltd",,"25 Marble Dr",CARRARA,QLD,4211,17/05/2023,
PR-40032737,,"Freckles Toowoomba Pty Ltd ATF Freckles Unit Trust","Freckles Kindy and Learning Centre","236 REUSHLE RD",GEHAM,QLD,4352,03/05/2023,
PR-40032777,,"Teagan Micallef",,"79 Queen St","REDLAND BAY",QLD,4165,03/05/2023,
PR-40032815,,"Jessie Ella Steminger","Squids Playgroup","5 Morris Ct",ANDERGROVE,QLD,4740,08/06/2023,
PR-40032825,,"Allyson Ann Sheppard",,Kuranda,KURANDA,QLD,4881,02/06/2023,
PR-40032876,,"Little Diggers Collinsville Inc.","Little Diggers Collinsville","PO Box 127",COLLINSVILLE,QLD,4804,15/06/2023,
PR-40032929,,"PARKLANDS CHRISTIAN COLLEGE LIMITED",,"11-31 Hillcrest Road","PARK RIDGE",QLD,4125,22/05/2023,
PR-40032939,,"Sparrow Nest Early Learning 101 Pty Ltd",,"Unit 2, 44 Borthwick Ave",MURARRIE,QLD,4172,05/07/2023,
PR-40032942,,"Janulla Brokaj",,"MEADOWBROOK CHILDCARE CENTRE, 16-18 YEATES CR",MEADOWBROOK,QLD,4131,26/06/2023,
PR-40032988,,"Ahmad Shoayb Hosseini",,"31a Cintra St",DURACK,QLD,4077,11/07/2023,
PR-40033025,,"NEW BEGINNINGS EDUCATION PTY LTD",,"U 11  14 Charles St","CAIRNS NORTH",QLD,4870,22/06/2023,
PR-40033061,,"26th Edge Pty Ltd ATF 26th Edge Unit Trust","26th Edge Pty Ltd ATF 26th Edge Unit Trust","PO BOX 952","SOUTHPORT BC",QLD,4215,18/05/2023,
PR-40033064,,"14TH EDGE PTY LTD","14th Edge Pty Ltd ATF 14th Edge Unit Trust","PO BOX 952","SOUTHPORT BC",QLD,4215,18/05/2023,
PR-40033073,,"7TH EDGE PTY LTD","7th Edge Pty Ltd ATF 7th Edge Unit Trust","PO BOX 952","SOUTHPORT BC",QLD,4215,18/05/2023,
PR-40033079,,"Grow Early Education Frankston Pty Ltd ATF Grow Early Education Frankston Unit Trust","Grow Early Education Frankston Pty Ltd ATF Grow Early Education Frankston Unit Trust","PO BOX 952","SOUTHPORT BC",QLD,4215,26/04/2023,
PR-40033141,,"22nd Edge Pty Ltd ATF 22nd Edge Unit Trust","22nd Edge Pty Ltd ATF 22nd Edge Unit Trust","PO BOX 952","SOUTHPORT BC",QLD,4215,18/05/2023,
PR-40033155,,"SOUL KIDS EDUCATION & CARE PTY LTD","Soul Kids Education & Care","1/8 Dray Place",PALMWOODS,QLD,4555,08/06/2023,
PR-40033182,,"Gary Alan Ward",,"12 Woggle St","JAMBOREE HEIGHTS",QLD,4074,22/06/2023,
PR-40033269,,"SUNRISE SANCTUARY EARLY LEARNING PTY LTD",,"46 Ridge Pde",NARANGBA,QLD,4504,16/06/2023,
PR-40033286,,"HARMONY VARSITY LAKES PTY LTD",,"Suite 104 Level 1, 120 Siganto Drive , Helensvale, QLD, 4212",Helensvale,QLD,4212,25/05/2023,
