"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00006174,,"Kidz Club Child Care Centre Pty Ltd","Kidz Club Child Care Centre Pty Ltd","2 Glenere Drive",MODBURY,SA,5092,01/01/2012,
PR-00006176,,"Kilkenny Primary School Council Inc","Kilkenny Primary School Council Inc","1 Jane Street","WEST CROYDON",SA,5008,01/01/2012,
PR-00006177,,"Kirinari Community School Inc","Kirinari Community School Inc","18 Trimmer Terrace",UNLEY,SA,5061,01/01/2012,
PR-00006178,,"Klemzig Primary School Council Inc","Klemzig Primary School Council Inc","2 Hay Street",KLEMZIG,SA,5087,01/01/2012,
PR-00006181,,"Lady Gowrie Child Centre Inc","Lady Gowrie Child Centre Inc","39a Dew St",THEBARTON,SA,5031,01/01/2012,
PR-00006182,,"The Trustee for LJ Trevorrow and TK Biddle Family Trust","The Trustee for LJ Trevorrow and TK Biddle Family Trust","PO Box 125",MENINGIE,SA,5264,01/01/2012,
PR-00006183,,"Barbara Langford","Langford, Barbara","PO Box 4036","TRANMERE NORTH",SA,5073,01/01/2012,
PR-00006184,,"Largs Bay Primary School Council Inc","Largs Bay Primary School Council Inc","LARGS BAY PRIMARY SCHOOL, 215-219 FLETCHER RD","LARGS BAY",SA,5016,01/01/2012,
PR-00006187,,"Le Fevre Community Childrens Centre Inc","Le Fevre Community Childrens Centre Inc","Le Fevre Child Care Centre, 5 Voules St",TAPEROO,SA,5017,01/01/2012,
PR-00006188,,"Enventive Incorporated","Enventive Incorporated","PO Box 443",BURNSIDE,SA,5066,01/01/2012,
PR-00006189,,"Linden Park Primary School Council Inc","Linden Park Primary School Council Inc","18 Hay Rd","LINDEN PARK",SA,5065,01/01/2012,
PR-00006190,,"LITTLE SHINING STARS CHILD CARE CENTRE PTY LTD","Little Shining Stars Childcare Centre Pty Ltd","21 KATOOMBA RD",BEAUMONT,SA,5066,01/01/2012,
PR-00006191,,"Littlehampton Primary School Council Inc","Littlehampton Primary School Council Inc","16-30 Baker Street",LITLEHAMPTON,SA,5250,01/01/2012,
PR-00006192,,"Lobethal Primary School Council Inc","Lobethal Primary School Council Inc","1 School Road",LOBETHAL,SA,5241,01/01/2012,
PR-00006193,,"Lockleys North Primary School Council Inc","Lockleys North Primary School Council Inc","55 Malurus Avenue",LOCKLEYS,SA,5032,01/01/2012,
PR-00006194,,"Loreto Marryatville Limited","Loreto Marryatville Limited","316 Portrush Rd",MARRYATVILLE,SA,5068,01/01/2012,
PR-00006195,,"Lower Eyre Peninsula Community Childcare Services","Lower Eyre Peninsula Community Childcare Services","PO Box 1213","PORT LINCOLN",SA,5606,01/01/2012,
PR-00006196,,"Loxton District Children's Centre Inc","Loxton District Children's Centre Inc","11 Tobruk Terrace",LOXTON,SA,5333,01/01/2012,
PR-00006198,,"Loxton Lutheran School Board","Loxton Lutheran School","6 Luther Road",LOXTON,SA,5333,01/01/2012,
PR-00006199,,"Lurra Community Children's Centre Inc","Lurra Community Children's Centre Inc","85 Capulet Crescent",MODBURY,SA,5092,01/01/2012,
PR-00006201,,"Lyndoch Primary School Council Inc","Lyndoch Primary School Council Inc","PO Box 562",LYNDOCH,SA,5351,01/01/2012,
PR-00006202,,"MacKinnon Parade Children's Centre Inc","MacKinnon Parade Children's Centre Inc","148 MACKINNON PDE","NORTH ADELAIDE",SA,5006,01/01/2012,
PR-00006203,,"Madison Park School Council Inc","Madison Park School Council Inc","Madison Primary School, 19 Lincoln Ave","SALISBURY EAST",SA,5109,01/01/2012,
PR-00006204,,"Magill Campus and Community Children's Centre","Magill Campus and Community Children's Centre","14-16 Bundey Street",MAGILL,SA,5072,01/01/2012,
