"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40032571,,"SILVERWARE PTY LTD","Silverware PTY LTD","U 1  403 Coode St",DIANELLA,WA,6059,22/06/2023,
PR-40032790,,"Allosaurus Pty Ltd","Allosaurus Pty Ltd","C/O UTOPIA CA PTY LTD, Suite 13B, 431 Roberts Rd",SUBIACO,WA,6008,13/07/2023,
PR-40032841,,"PILBARA KINDER HAUS PTY LTD","Karratha Kinder House","2 Withnell Way",BULGARRA,WA,6714,04/08/2023,
PR-40032863,,"Discovery Cove ELC Pty Ltd","Discovery Cove ELC Pty Ltd","2 BARR WAY","SOUTH YUNDERUP",WA,6208,12/06/2023,
PR-40032998,,"H & N EARLY LEARNING PTY LTD",,"7 Avalon Cl",WOODVALE,WA,6026,25/08/2023,
PR-40033214,,"Clay Early Learning Pty Ltd ATF Andrew and Giselle Family Trust","Clay Early Learning","8A Rudyard Court",WILLETTON,WA,6155,23/08/2023,
PR-40033233,,"Amy E Gardner & H Kerguillec","The Hub Dunsborough","8 Princeville Ave",DUNSBOROUGH,WA,6281,26/09/2023,
PR-00007896,,"UNITED FAMILY DAYCARE SOUTH PTY LTD","Kidz Planet Family Day Care","UNIT 9, 980 Albany Highway","EAST VICTORIA PARK",WA,6101,10/08/2012,
PR-00007961,,"PACHAMAMA PTY LTD","Pachamama Pty Ltd","PO Box 204","NORTH FREMANTLE",WA,6159,14/08/2012,
PR-00007974,,"Organikids Pty Ltd as Trustee for the Allyson Rice Family Trust","Organikids Childcare","PO Box 1513","OSBORNE PARK",WA,6916,17/08/2012,
PR-00007980,,"Marilandy Pty Ltd",,"136 KEMPTON ST","BLUFF POINT",WA,6530,03/08/2012,
PR-00008071,,"Debedd Investments Pty Ltd  ATF E & D Loreggian Trust","Canning vale School of Early Learning","PO Box 5539","CANNING VALE SOUTH",WA,6155,23/08/2012,
PR-00008072,,"Patatap Pty Ltd ATF PM Aylmore Family Trust","Patatap Pty Ltd ATF PM Aylmore Family Trust","12 Barker Road","CENTENNIAL PARK",WA,6330,28/08/2012,
PR-00008083,,"HILAAC FAMILY DAY CARE PTY LTD",,"U 7 132 Epsom Ave",BELMONT,WA,6104,24/09/2012,
PR-00008085,,"Mrs Samantha Higgins",,"24 Brenchley Drive",ATWELL,WA,6164,31/07/2012,
PR-00008099,,"Nectar Childcare Services Pty Ltd ATF The Nectar Education Trust",,"PO Box 941",INNALOO,WA,6918,17/10/2012,
PR-40017727,,"TARA MONTESSORI PTY LTD",,"10 Feldman Cres",PARKERVILLE,WA,6081,14/11/2018,
PR-40002464,,"Beverly Group Pty Ltd",,"10 Beverley St",COOLBINIA,WA,6050,29/10/2014,
PR-40002472,,"Atlantis Child Care Centre Pty Ltd as Trustee For The Atlantis Child Care Centre Trust",,"18/61 Ocean Keys Boulevard",CLARKSON,WA,6030,29/10/2014,
