ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-40019913,PR-00010151,"Our Lady of the Sacred Heart Alice Springs Early Learning Centre","Catholic Church Diocese of Darwin Education Property Trust","Centre-Based Care","9 Bath St","ALICE SPRINGS",NT,0870,0889508618,,,44,29/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Sep 2022",31/03/2025,"May 2025",Yes,No,No,No,No,No,No,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020002,PR-00010151,"Our Lady of the Sacred Heart Outside School Hours Care","Catholic Church Diocese of Darwin Education Property Trust","Centre-Based Care","9 Bath St","ALICE SPRINGS",NT,0870,"0889506400 (Switchboard)  89508618 (ELC)",,,60,01/02/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Sep 2022",31/03/2025,"May 2025",No,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:50,17:30,14:50,17:30,14:50,17:30,14:50,17:30,14:50,17:30,,,,,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,,,,,No
SE-00012237,PR-40023986,"Durack School Outside School Hours Care","DURACK SCHOOL COUNCIL INC","Centre-Based Care","Durack Primary School, 50 Woodlake Boulevard",DURACK,NT,0830,0428737453,,"At all times the service is in operation, the service must utilise the following areas as part of their indoor space to maintain a service approval at a maximum of 140 children:
- Shack                                        - OSCH Room 2 Art Room
- OSHC Room                              - F Block - Assembly Area (Hall)
- OSHC Room 2                          - Assembly Area (Stage) The service is required to set up engaging activities and environments that simulate additional indoor space at all times the service is in operation.",140,16/07/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2022","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Aug 2022",01/02/2021,"October 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:05,06:30,08:05,06:30,08:05,06:30,08:05,06:30,08:05,,,,,14:30,17:45,14:30,17:45,14:30,17:45,14:30,17:45,14:30,17:45,,,,,06:30,17:45,06:30,17:45,06:30,17:45,06:30,17:45,06:30,17:45,,,,,No
SE-00012252,PR-00007020,"Katherine South Primary School OSHC","Katherine South Primary School Council","Centre-Based Care","Riverbank Drive",KATHERINE,NT,0850,89721277,89721857,,80,22/11/2012,"Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Nov 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2019",,"September 2025",No,No,No,Yes,No,Yes,No,14:45,17:45,14:45,17:45,14:45,17:45,14:45,17:45,07:30,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,No
SE-00012253,PR-00006564,"Child Australia Berry Springs OSHC","Children's Integrated Management Services Ltd","Centre-Based Care","1150 Cox Peninsular Road","BERRY SPRINGS",NT,0838,1300661164,0879230366,"Whilst the waiver is in effect, the service must ensure at least 1 qualified educator is present and working with the children at all times the service is providing education and care.",50,25/03/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2021","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2017",13/12/2024,"August 2025",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00012257,PR-00001287,"The Essington OSHC","The Essington School Darwin Limited","Centre-Based Care","Chapman Road",NIGHTCLIFF,NT,0810,0889850140,,,100,07/05/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2022","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Jan 2018",,"August 2025",No,No,No,Yes,No,Yes,No,12:00,1730,12:00,1730,12:00,1730,12:00,1730,12:00,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0730,1730,0730,1730,0730,1730,0730,1730,0730,1730,,,,,No
SE-00012265,PR-00010151,"Holy Family After School Care","Catholic Church Diocese of Darwin Education Property Trust","Centre-Based Care","Calytrix Road",KARAMA,NT,0812,0889276188,0889452254,,90,28/03/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2021","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","May 2019",31/03/2025,"January 2025",No,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:30,17:45,14:30,17:45,14:30,17:45,14:30,17:45,14:30,17:45,,,,,,,,,,,,,,,,,,,No
SE-00012266,PR-00010151,"St Francis of Assisi After School Care","Catholic Church Diocese of Darwin Education Property Trust","Centre-Based Care","Challoner Circuit","HUMPTY DOO",NT,0836,0889882821,,,50,11/12/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2021","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2017",31/03/2025,"May 2025",No,No,No,Yes,Yes,Yes,No,14:50,17:45,14:50,17:45,14:50,17:45,14:50,17:45,14:50,17:45,,,,,07:00,08:00,07:00,08:00,07:00,08:00,07:00,08:00,07:00,08:00,,,,,14:50,17:45,14:50,17:45,14:50,17:45,14:50,17:45,14:50,17:45,,,,,07:00,17:45,07:00,17:45,07:00,17:45,07:00,17:45,07:00,17:45,,,,,No
SE-00012267,PR-00010151,"St Mary's Outside School Hours Care","Catholic Church Diocese of Darwin Education Property Trust","Centre-Based Care","Lindsay Street",DARWIN,NT,0800,0889819796,0889815286,,75,06/03/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2024","Working Towards NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Aug 2021",31/03/2025,"December 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:00,07:00,08:00,07:00,08:00,07:00,08:00,07:00,08:00,,,,,14:50,17:45,14:50,17:45,14:50,17:45,14:50,17:45,14:50,17:45,,,,,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,07:30,17:30,,,,,No
SE-00012268,PR-00010151,"Sacred Heart Catholic School Outside School Hours Care","Catholic Church Diocese of Darwin Education Property Trust","Centre-Based Care","34 Emery Avenue",WOODROFFE,NT,0830,"08 89 248 742",,,120,27/12/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2020",31/03/2025,"May 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:15,07:00,08:15,07:00,08:15,07:00,08:15,07:00,08:15,,,,,15:00,17:30,15:00,17:30,15:00,17:30,15:00,17:30,15:00,17:30,,,,,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,,,,,No
