ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-40019899,PR-00000533,"YMCA Palmview Outside School Hours Care","The Young Men's Christian Association of Brisbane","Centre-Based Care","Corner of Peter Crosby Way and College Road",PALMVIEW,QLD,4553,0448406306,,"This service is approved to provide education and care to children over preschool age up to and including school children, before school, after school and during school holidays. In addition to the prescribed information required to be displayed under section 172 of the Education and Care Services National Law and regulation 173 of the Education and Care Services National Regulations, the approved provider must display a map which clearly identifies the indoor and outdoor spaces on the school site approved by the school for use by the education and care service. This map is to be positioned so that is clearly visible to anyone from the main entrance to the education and care service premises.

",90,25/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2022",,,,,,,,,,,"April 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:00,08:50,06:00,08:50,06:00,08:50,06:00,08:50,06:00,08:50,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,No
SE-40019904,PR-00001030,"Helping Hands Boyne Island","Helping Hands Network Pty Ltd","Centre-Based Care","Boyne Island State School, 151 Malpas St","BOYNE ISLAND",QLD,4680,0418402127,,"In addition to the prescribed information required to be displayed under section 172 of the Education and Care National Law and regulation 173 of the Education and Care Regulations, the approved provider must display a map which clearly identifies the indoor and outdoor spaces provided for use by the education and care service. This map is the be positioned so that it is clearly visible to anyone from the main entrance to the education care service premise. This service is approved to provide education and care to a children over preschool age up to and including school children, before school, after school and during school holidays.",46,21/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2022",,,,,,,,,,,"October 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:50,06:30,08:50,06:30,08:50,06:30,08:50,06:30,08:50,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-40019912,PR-00001030,"Helping Hands Urangan Point","Helping Hands Network Pty Ltd","Centre-Based Care","Miller Street",URANGAN,QLD,4655,0437789957,,"In addition to the prescribed information required to be displayed under section 172 of the Education and Care Services National Law and regulation 173 of the Education and Care Services National Regulations, the Approved Provider must display a map which clearly identifies the indoor and outdoor spaces on the school site approved by the school for use by the education and care service. This map is to be positioned so that is clearly visible to anyone from the main entrance to the education and care service premises.  This service is approved to provide education and care to children over preschool age up to and including school children, before school, after school and during school holidays.",43,21/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2022",,,,,,,,,,,"September 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-40019914,PR-00001030,"Helping Hands Clover Hill","Helping Hands Network Pty Ltd","Centre-Based Care","Clover Hill State School, Clover Hill Drive",MUDGEERABA,QLD,4213,0459020630,,"In addition to the prescribed information required to be displayed under section 172 of the Education and Care National Law and regulation 173 of the Education and Care Regulations, the approved provider must display a map which clearly identifies the indoor and outdoor spaces provided for use by the education and care service. This map is to be positioned so that it is clearly visible to anyone from the main entrance to the education care service premise.
 This service is approved to provide education and care to children over preschool age up to and including school children, before school, after school and during school holidays.",150,21/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2022",,,,,,,,,,,"October 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:00,08:55,06:00,08:55,06:00,08:55,06:00,08:55,06:00,08:55,,,,,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,14:30,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,No
SE-40019929,PR-40000259,"Duaringa State School Kindergarten","State of Queensland (Acting through Department of Education)","Centre-Based Care","1 Charlotte Street",DUARINGA,QLD,4712,0749256333,,"The service is not approved to provide education and care to school children At all times that education and care is being provided under this service approval, there must not be less than 3.25 square metres of unencumbered indoor space and 7 square metres of unencumbered outdoor play space per child attending the premises (including the school children sharing the facilities) with the total number of children not exceeding 30 This service is a centre-based service that delivers a preschool program in a school in a class or classes where a full-time education program is also being delivered to school children (composite class) (regulation 248 of the Education and Care Services National Regulations) Regulations 104, 114, 115, 123 and 126 (including any provisions that apply in place of regulations 123 and 126 of the Education and Care Services National Regulations) do not apply to this service (regulation 239 of the Education and Care Services National Regulations)",12,27/11/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2025",,,,,,,,,,,"August 2025",No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,08:30,14:30,08:30,14:30,08:30,14:30,,,,,,,,,08:30,14:30,08:30,14:30,,,,,,,,,,,,,,,,,,,,,No
SE-40020009,PR-40024241,"LEAD Childcare Walloon","CC INNOVATION PTY LTD as Trustee for The Kinder Trust","Centre-Based Care","7001 Muller St",WALLOON,QLD,4306,0753148880,,"The Approved Provider must ensure that the mirrors and/or CCTV cameras installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. This service is approved to provide education and care to a maximum of 15 school children at any one time.",136,08/12/2020,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2022",,,,,,,,,,,"November 2025",Yes,No,No,No,No,No,No,06:00,18:00,06:00,18:00,06:00,18:00,06:30,18:00,06:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,No
SE-40020021,PR-00000783,"Suncoast Little Learners","Christian Outreach Centre","Centre-Based Care","Cnr Kiel Mountain Road and Schubert Road",WOOMBYE,QLD,4559,"5451 3648  service; 54513600 school office",,"This service is approved to provide education and care to a maximum of 39 school children at any one time. The Approved Provider must ensure that the mirrors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. This service is approved to provide education and care to children aged from 24 months up to and including school children.",96,15/01/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2022",,,,,,,,,,,"February 2025",Yes,No,No,Yes,Yes,No,No,06:45,17:45,06:45,17:45,06:45,17:45,06:45,17:45,06:45,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:45,17:45,06:45,17:45,06:45,17:45,06:45,17:45,06:45,17:45,,,,,No
SE-40020176,PR-00000823,"Guardian Childcare & Education Richlands","Guardian Community Early Learning Centres Pty Ltd","Centre-Based Care","144 Pine Rd",RICHLANDS,QLD,4077,0731801830,,"This service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children. The approved provider must ensure that the mirrors and CCTV and monitors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations. As part of the requirement to conduct three (3) monthly emergency and evacuation procedures rehearsals in accordance with regulation 97(3) of the National Regulations the Approved Provider must engage an appropriate expert in emergency procedures, a fire safety advisor or fire safety engineer to observe and report on one rehearsal (including any proposed actions to improve evacuation procedures) at least annually by the end of June. A copy of each annual evacuation outcome report, including any recommendations for actioning, is to be supplied to the Regional Office of the Regulatory Authority in which the service is located within 7 days upon receipt of the report by the Approved Provider. ",140,06/04/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2023",,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020215,PR-40024319,"Kaleidoscope Kids Early Learning Centre Redbank","The KK Redbank Pty Ltd as Trustee for The KK Redbank Trust","Centre-Based Care","57 Brisbane Rd",REDBANK,QLD,4301,0734509100,,"A copy of the annual evacuation outcome report, including any recommendations for actioning is to be supplied to the Regional Office of the Regulatory Authority in which the service is located within 7 days upon receipt of the report by the Approved Provider. This service is approved to provide education and care to children from birth up to and including over preschool age The service is not approved to provide education and care to school children The Approved Provider must ensure that the mirrors and CCTV cameras and monitors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations As part of the requirement to conduct three (3) monthly emergency and evacuation procedures rehearsals in accordance with regulation 97(3) of the Education and Care Services National Regulations, the Approved Provider must engage an appropriate expert, such as a person/service provider in Emergency Procedures, a fire safety advisor or fire safety engineer, to observe and report on one full rehearsal (including suitability of the assembly area for the number of children being provided education and care, and any proposed actions to improve evacuation procedures) by the first day of April 2023, and then at least annually by the end of October.",62,16/07/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2022",,,,,,,,,,,"July 2025",Yes,No,No,No,No,No,No,06:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40020257,PR-00000813,"Capers Early Learning Nambour","Australian National Homes Pty Ltd ATF The Anh Trust","Centre-Based Care","47 Image Flat Road",NAMBOUR,QLD,4560,"07 5476 0378",,"This service is approved to provide education and care to children from birth up to and including over preschool age. The service is not approved to provide education and care to school children. The Approved Provider must ensure that the CCTV and monitors installed at the service are constantly maintained and operational. This is to ensure the facilitation of adequate supervision of children at all times they are being educated and cared for at the service, having regard to the need to maintain the rights and dignity of the children as required under regulation 115 of the Education and Care Services National Regulations.",90,13/12/2021,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023",,,,,,,,,,,"December 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
