ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-40019926,PR-00005904,"Ludo Early Learning - St Paul's","CatholicCare Tasmania","Centre-Based Care","2-4 Paice Street",BRIDGEWATER,TAS,7030,0474905087,,"The approved provider is required to ensure that the two water features in the outdoor learning environment are drained at the completion of each session of play throughout the day. ",24,11/02/2022,"Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Oct 2023",,,,,,,,,,,"November 2025",Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40028069,PR-00005896,"Channel Christian Outside School Hours Care","Adventure Patch","Centre-Based Care","Channel Christian School, 17 Endeavour Ave",MARGATE,TAS,7054,0362294914,,,19,12/10/2023,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2025",,,,,,,,,,,"May 2025",No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,14:45,18:15,14:45,18:15,14:45,18:15,14:45,18:15,14:45,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40028304,PR-40035387,"Hilliard Christian School - Early Learning","Seventh-day Adventist Schools (Tas) Ltd","Centre-Based Care","32 Cheviot Road","WEST MOONAH",TAS,7009,0362721711,,,50,09/10/2024,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2025",,,,,,,,,,,"September 2025",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
SE-40024307,PR-00005896,"Adventure Patch Roland View","Adventure Patch","Centre-Based Care","Kentish Child Care, 7 Henry St",SHEFFIELD,TAS,7306,0364911025,,,17,15/08/2022,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2024",,,,,,,,,,,"May 2025",Yes,No,No,No,No,No,No,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,,,,,No
SE-40001949,PR-00005904,"CatholicCare Children's Services - St Finn Barr's Outside School Hours Care","CatholicCare Tasmania","Centre-Based Care","St Finn Barr's Catholic School, 247 Invermay Rd",INVERMAY,TAS,7248,1300119455,0362086099,,45,17/04/2014,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2021","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Dec 2017",,"February 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-40020487,PR-40011040,"Dunalley Uniting Outside School Hours Care","UNITING (VICTORIA AND TASMANIA) LIMITED","Centre-Based Care","Dunalley Primary School, 20-32 Bay Street",DUNALLEY,TAS,7177,0488237275,,,45,28/01/2021,"Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Jul 2025","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Jul 2023",22/07/2024,"May 2025",No,No,No,Yes,Yes,Yes,No,,,,,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,,,,,,,,,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,,,,,,,,,,,,,Yes
SE-40005777,PR-00001129,"Goodstart Early Learning Hobart West","Goodstart Early Learning Ltd","Centre-Based Care","40 Molle St",HOBART,TAS,7000,0362314662,0739063266,,94,18/03/2016,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Oct 2023","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Apr 2017",,"August 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-40005861,PR-00005946,"Westbury OSHC Service","Thrive Group Tasmania Inc","Centre-Based Care","Westbury Primary School, 97 Dexter St",WESTBURY,TAS,7303,0363411555,0363449493,,21,20/01/2016,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2023","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jan 2019",,"August 2025",No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,,,,,,,,,,,,,,,No
SE-40016408,PR-00005928,"Discovery Early Learning Centre- Launceston","J & L Enterprises Pty Ltd","Centre-Based Care","Level 2 Launceston Medical Centre, 243-247 Wellington St",LAUNCESTON,TAS,7250,"63 345717",,,130,22/11/2019,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2021",,,,,,,,,,,"May 2025",Yes,No,No,No,No,No,No,06:30,22:30,06:30,22:30,06:30,22:30,06:30,22:30,06:30,22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017504,PR-40011040,"Campania Uniting Outside School Hours Care","UNITING (VICTORIA AND TASMANIA) LIMITED","Centre-Based Care","CAMPANIA DISTRICT HIGH SCHOOL, 2-4 UNION ST",CAMPANIA,TAS,7026,0481453480,,,30,06/03/2025,,,,,,,,,,,,,,,,,,,,"February 2025",No,No,No,Yes,No,No,No,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,,,,,,,,,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,,,,,,,,,,,,,Yes
